user_name	created_at
015670	2015-07-29 07:42:20
022904	2015-09-07 00:35:07
03NIGA	2015-07-31 04:18:55
042783	2015-07-31 04:19:05
056163	2015-09-14 07:48:52
061286	2015-08-10 01:50:28
075949	2015-08-10 01:50:48
086233	2015-08-28 00:48:20
091995	2015-09-07 00:35:20
1000	2015-07-27 00:43:58
102541	2015-09-14 08:09:42
99901	2015-07-27 10:59:30
id	author	question1	question2	question3	question4	question5	question6	question7	question8	question9	question10	question11	question12	delay_counter	created_at
2	99901	0	0	0	0	0	1	0	0	0	0	0	0	0	2015-07-27 11:12:05
6	99901	0	0	1	0	0	0	1	0	0	0	1	0	0	2015-07-27 23:39:59
7	99901	0	1	0	0	0	1	1	0	0	0	1	0	0	2015-07-28 07:41:52
8	1000	1	0	1	0	1	0	1	0	1	0	1	0	0	2015-07-29 01:25:09
11	99901	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-07-30 01:28:30
12	99901	1	0	0	0	0	0	0	0	0	0	0	0	0	2015-07-30 07:32:13
13	015670	0	0	0	0	0	1	0	0	0	0	0	0	0	2015-08-03 04:33:49
14	99901	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-03 05:50:41
15	042783	1	0	1	1	0	0	1	0	1	0	1	1	0	2015-08-03 06:54:40
16	1000	0	1	0	1	0	1	1	0	1	0	1	0	0	2015-08-04 13:40:11
17	99901	1	0	1	1	1	1	1	0	0	0	0	0	0	2015-08-06 06:55:39
18	03niga	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-10 04:17:28
20	015670	0	0	0	0	0	0	1	0	0	1	0	0	0	2015-08-10 07:31:31
21	061286	1	1	0	0	1	1	1	1	1	0	1	1	0	2015-08-11 00:06:26
23	1000	1	0	1	0	1	0	1	0	1	0	1	0	4	2015-08-11 03:04:05
24	075949	1	0	1	1	1	1	1	0	0	0	1	0	0	2015-08-12 02:33:02
25	042783	0	1	0	0	0	0	0	0	0	0	1	0	0	2015-08-12 02:35:09
26	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-12 16:04:31
27	1000	0	0	0	0	0	0	1	1	1	0	0	0	0	2015-08-12 16:06:07
29	061286	1	0	0	1	1	1	1	0	1	0	1	1	0	2015-08-17 04:01:46
30	042783	0	0	1	0	0	0	0	0	0	0	0	0	0	2015-08-17 08:05:25
31	015670	0	0	0	0	0	0	0	0	0	1	0	0	0	2015-08-17 11:33:03
32	075949	1	0	1	0	1	1	1	0	0	0	0	0	0	2015-08-19 03:09:29
33	99901	1	0	0	1	1	0	0	0	0	0	0	0	2	2015-08-19 03:19:25
35	03niga	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-20 03:02:48
36	99901	1	0	1	1	1	1	0	1	0	1	1	0	0	2015-08-20 06:25:02
38	075949	0	0	1	1	1	1	1	0	0	0	0	0	0	2015-08-24 04:01:54
39	061286	1	0	0	1	1	1	1	0	1	0	1	1	0	2015-08-24 04:02:08
40	042783	1	0	1	0	0	0	0	0	0	0	0	0	0	2015-08-24 07:40:18
41	03niga	0	0	0	0	1	1	1	0	0	0	0	0	0	2015-08-25 02:23:40
42	015670	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-25 06:17:01
43	99901	0	0	0	0	0	0	0	0	0	0	0	0	2	2015-08-27 04:20:03
44	99901	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-27 06:20:30
45	086233	0	0	0	0	0	0	0	0	0	0	1	0	0	2015-08-31 04:28:18
46	99901	0	0	0	0	0	0	0	0	0	0	0	0	4	2015-08-31 06:18:52
47	99901	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-08-31 06:52:01
48	061286	0	0	1	1	1	1	1	0	0	0	1	0	0	2015-08-31 12:53:06
49	075949	0	0	1	1	1	1	1	0	0	0	0	0	0	2015-09-01 07:33:40
50	03niga	0	0	0	0	1	1	0	0	0	0	0	0	0	2015-09-02 00:34:36
51	99901	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-09-03 06:48:23
52	086233	0	0	0	0	0	0	0	0	0	0	1	1	1	2015-09-07 04:44:30
53	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-09-07 16:02:45
54	022904	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-09-07 23:34:08
55	99901	0	0	0	0	0	0	0	0	0	0	0	0	2	2015-09-08 04:05:59
56	091995	0	0	1	1	0	0	1	1	1	1	0	1	0	2015-09-08 07:00:41
57	1000	0	0	0	0	0	1	1	0	1	0	0	0	0	2015-09-09 15:39:51
58	1000	0	1	1	0	1	0	0	1	0	1	1	0	0	2015-09-09 15:41:53
59	022904	0	0	0	0	0	0	0	0	0	0	0	0	0	2015-09-14 04:02:45
